"만 0~6세
15,6,책 올바르게 펼치기,"그림책을 거꾸로 건네준다. 아이가 스스로 바로잡으려 하는지 관찰하고, 아이가 바로잡으면 '맞아, 이렇게 보는 거야!'라고 한다. 책장을 넘기는 것도 함께 해본다.","사물의 올바른 방향과 사용법을 인식하는 기능적 사물 이해 능력을 키우고, 책이라는 도구의개념적 용도를 내재화한다.",인지,"Striano, T., Tomasello, M., & Rochat, P. (2001). Social and object support for early symbolic play. Developmental Science, 4(4), 442–455.",,,,
15,7,블록 2개 쌓기,"블록 두 개를 꺼내 하나를 바닥에 놓고 '위에 얹어볼까?'라며 두 번째 블록을 올리는 시범을 보인다. 아이가 따라 쌓으면 '우와, 쌓았다!'라고 크게 반응한다. 무너져도 괜찮다고말해준다.","공간 관계 이해와 손-눈 협응력을 훈련하고, 목표 지향적 행동의 계획 및 실행 능력을 발달시킨다.",인지,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson; CDC. (2023). Developmental Milestones: 15 Months. cdc.gov/ncbddd/actearly",,,,
15,7,블록 탑 높이기도전,"블록을 2개 쌓은 뒤 '하나 더 올려볼까?'라며 3번째 블록을건넨다. 아이가 올리려 시도하면 성공 여부와 상관없이 '잘했어, 해봤잖아!'라고 칭찬한다.","2개 쌓기에서 한 단계 높은 목표로 도전하며 집중력과 소근육 조절 능력을 키우고, 실패를 두려워하지 않는 도전 의식을 형성한다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
15,6,숟가락으로 퍼담기,그릇에 블록이나 콩을 담아두고 숟가락으로 떠서 다른 그릇에 옮기는 시범을 보인다. 아이에게 숟가락을 건네고 따라해보도록 유도한다.,"도구(숟가락)의 기능적 용도를 이해하고 활용하는 능력을 키우며, 목적 달성을 위한 도구 사용계획력의 초기 형태를 발달시킨다.",인지,"Rat-Fischer, L., O'Regan, J. K., & Fagard, J. (2012). The emergence of tool use during the second year of life. Journal of Experimental Child Psychology, 113(3), 440–446.",,,,
15,5,맞는 뚜껑 찾기심화,크기가 다른 통 3개와 뚜껑을 섞어 놓는다. '맞는 뚜껑을 찾아볼까?'라고 말하며 아이가 시행착오를 통해 스스로 맞춰보도록 기다린다. 힌트는 아이가 포기할 때만 준다.,"크기와 형태의 대응 관계를 파악하는 공간 추론능력을 강화하고, 시행착오를 통한 자기 주도적문제 해결 전략을 학습시킨다.",인지,"Piaget, J. (1952). The Origins of Intelligence in Children. International Universities Press.",,,,
15,6,인형 재우기 놀이,인형을 눕히고 담요를 덮어주는 시범을 보이며 '자장자장~'이라고 한다. 아이에게 인형과 담요를 건네고 재워보도록유도한다.,"실제 생활 장면을 놀이로 재현하는 상징 놀이 능력을 발달시키고, 일상 루틴에 대한 인과적 이해(자면 덮어줘야 한다)를 형성한다.",인지,"Leslie, A. M. (1987). Pretense and representation: The origins of 'theory of mind'. Psychological Review, 94(4), 412–426.",,,,
15,7,어디서 소리 나지? 탐색,아이가 보지 않을 때 방의 다른 곳에서 방울이나 딸랑이를흔든다. '어디서 소리 나지?'라고 묻고 아이가 소리 나는 방향을 찾아가면 '찾았다!'라고 반응한다.,"청각 자극을 단서로 환경을 탐색하고 원인을 추적하는 인과 추론 능력을 키우며, 보이지 않는것을 소리로 파악하는 감각 통합 능력을 자극한다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
15,6,같은 모양 넣기,원형·사각형 구멍이 있는 모양 맞추기 장난감을 꺼낸다. 원형 블록을 건네며 '어디에 넣어야 할까?'라고 묻고 아이가맞는 구멍을 찾도록 기다린다. 성공하면 크게 칭찬한다.,"형태 변별과 공간 지각 능력을 훈련하고, 모양과공간의 대응 관계를 파악하는 논리적 사고의 기초를 형성한다.",인지,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
15,5,손가락으로 집어 먹기,잘게 썬 과일이나 뻥튀기를 접시에 놓고 아이가 손가락으로 집어 스스로 먹도록 기다린다. 도와주지 않고 지켜보다가 성공하면 '혼자 먹었네!'라고 칭찬한다.,"손가락 끝 소근육 조절과 눈-손 협응력을강화하고, 스스로 먹는 자기 주도적 식사능력과 독립심의 기초를 형성한다.",신체발달,American Academy of Pediatrics. (2023). Finger Foods for Babies and Toddlers. healthychildren.org,,,,
15,6,숟가락 쥐고 먹기 시도,숟가락에 요거트나 부드러운 음식을 조금 올려 아이에게건넨다. 아이가 스스로 입으로 가져가도록 기다린다. 흘려도 괜찮다고 말하며 시도 자체를 칭찬한다.,"도구를 사용해 스스로 먹는 자기 조절 능력을 키우고, 손목 회전과 팔 협응력 등 식사 독립에 필요한 소근육 발달을 촉진한다.",신체발달,"Carruth, B. R., & Skinner, J. D. (2002). Feeding behaviors and other motor development in healthy children. Journal of the American College of Nutrition, 21(2), 88–95.",,,,
15,5,혼자 컵 들고마시기,손잡이가 달린 아기 컵에 물을 조금 담아 아이 앞에 놓는다. 아이가 스스로 두 손으로 들어 마시도록 기다린다. 성공하면 '혼자 마셨다!'라고 반응한다.,"양손 협응과 손목 조절 능력을 훈련하고, 식사 도구를 독립적으로 사용하는 자기 돌봄 능력의 기초를 형성한다.",신체발달,American Academy of Pediatrics. (2023). Feeding & Nutrition: Your 1-Year-Old. healthychildren.org,,,,
15,7,신발 벗기 시도,"신발 앞에 앉혀두고 '신발 벗어볼까?'라고 말하며 벨크로 부분을 떼는 시범을 보인다. 아이가 스스로 시도하도록 기다리고, 조금이라도 당기면 '거의 다 됐어!'라고 격려한다.","스스로 옷을 관리하는 자기 돌봄 행동을시작하고, 손가락 힘과 양손 협응력을 실생활 맥락에서 훈련한다.",신체발달,CDC. (2023). Developmental Milestones: 15 Months. cdc.gov/ncbddd/actearly,,,,
15,6,혼자 걷기 연습,"양팔을 벌리고 1~2m 거리에서 아이를 부른다. 아이가혼자 걸어오면 '우와, 혼자 걸어왔네!'라며 안아준다. 거리를 조금씩 늘려나간다.","독립 보행 자신감을 강화하고, 균형 감각과 보행 안정성을 반복 훈련을 통해 발달시킨다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development: Embodied, embedded, enculturated, and enabling. Annual Review of Psychology, 70, 213–240.",,,,
15,7,계단 오르내리기,낮은 계단 앞에서 손을 잡아주며 한 발씩 오르도록 돕는다. 올라간 뒤 내려올 때도 함께 잡아준다. 아이가 스스로 발을 내딛으려 하면 기다려준다.,"교대 하지 근력과 균형 감각을 강화하고, 높낮이 공간 지각 및 신체 협응 능력을 실생활 동작으로 발달시킨다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
15,6,공 발로 차기,"큰 공을 바닥에 놓고 '발로 차볼까?'라며 시범을 보인다. 아이가 공을 향해 발을 내딛도록 유도하고, 발이 닿으면'찼다!'라고 크게 반응한다.",한 발로 균형을 잡고 다른 발로 차는 동작을 통해 하지 협응력과 동적 균형 감각을발달시킨다.,신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
15,5,낙서하기,큰 종이와 굵은 크레파스를 꺼내 부모가 먼저 선을 그으며 '죽죽~'이라고 말한다. 아이에게 크레파스를 건네고스스로 긁적이도록 유도한다. 결과물에 '멋지다!'라고 반응한다.,"손목과 손가락 소근육 조절 능력을 자유로운 탐색을 통해 발달시키고, 도구(크레파스)를 쥐고 조작하는 능력을 키운다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
15,7,물건 끌고 다니기,끈이 달린 장난감이나 작은 가방을 아이에게 건네고 '끌고 다녀볼까?'라고 유도한다. 아이가 끌며 방을 돌아다니면 '잘한다~'라고 반응한다.,"보행 중 물건을 조작하는 이중 과제 협응력을 키우고, 걷기의 안정성과 팔-다리 협응 능력을 실생활 맥락에서 강화한다.",신체발달,CDC. (2023). Developmental Milestones: 15 Months. cdc.gov/ncbddd/actearly,,,,
15,6,스스로 앉고 일어서기,아이가 바닥에서 놀다 스스로 일어나려 할 때 바로 돕지않고 기다린다. 아이가 혼자 일어서면 '혼자 일어났네!'라고 칭찬한다. 앉을 때도 천천히 내려앉는 동작을유도한다.,"앉기·일어서기에 필요한 하지 및 코어 근력을 강화하고, 스스로 자세를 전환하는신체 자율성과 균형 감각을 발달시킨다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
,,,,,,,,,,
18,6,가까이 있는지확인하기,"아이가 방을 돌아다닐 때 부모는 자리를 지키며 '엄마여기 있어~'라고 말한다. 아이가 돌아와 확인하면 '맞아, 여기 있지!'라고 반응하고 다시 탐색하도록 보내준다.","안전 기지로서의 부모를 인식하고, 자율적 탐색과 애착 확인을 반복하며독립심과 신뢰감을 동시에 발달시킨다.",사회성,"Ainsworth, M. D. S. (1978). Patterns of Attachment. Erlbaum.",,,,
18,5,흥미로운 것 가리켜 알려주기,"산책 중이나 집 안에서 새로운 물건을 발견하면 '어, 저거 봐봐!'라고 말하며 가리키는 시범을 보인다. 아이가손가락으로 가리키면 '오, 알려줘서 고마워!'라고 반응한다.",선언적 가리키기를통해 정보를 타인과 공유하려는 사회적 소통동기를 강화하고 공동 주의 능력을 발달시킨다.,사회성,"Tomasello, M. (1995). Joint attention as social cognition. In Moore & Dunham (Eds.), Joint Attention. Erlbaum.",,,,
18,5,손 씻기 위해손 내밀기,"식사 전후 '손 씻자~' 하며 아이 손을 기다린다. 아이가먼저 손을 내밀면 '잘했어, 손 씻을 준비 됐네!'라고 반응하며 함께 씻는다.","일상 루틴 속 협력 행동을 학습하고, 상황을예측해 스스로 준비하는 사회적 적응 능력과자기 돌봄 의식을 형성한다.",사회성,CDC. (2023). Developmental Milestones: 18 Months. cdc.gov/ncbddd/actearly,,,,
18,7,함께 책 보기,"그림책을 펼쳐 아이와 나란히 앉아 2~3페이지를 함께본다. 아이가 그림을 가리키면 '맞아, OO이네!'라고 반응하고, 아이가 페이지를 넘기려 하면 기다려준다.","공동 주의 집중력과 책에 대한 흥미를 키우고, 부모와의 공유 독서 경험을 통해 언어 발달과 사회적 유대감을 동시에 강화한다.",사회성,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
18,5,옷 입을 때 팔밀어 넣기,"옷을 입힐 때 '팔 넣어볼까?'라고 말하며 소매를 넓게벌려준다. 아이가 스스로 팔을 밀어 넣으면 '잘했어, 혼자 했네!'라고 크게 칭찬한다. 발 들기도 함께 연습한다.","옷 입기 루틴에 능동적으로 참여하는 협력 행동을 학습하고, 자기 돌봄의 초기 단계인 옷입기 독립심의 기반을 형성한다.",사회성,CDC. (2023). Developmental Milestones: 18 Months. cdc.gov/ncbddd/actearly,,,,
18,6,인형 돌봐주기놀이,"인형을 꺼내 '인형이 배고프대, 밥 줄까?'라고 말하며먹이는 흉내를 낸다. 아이에게 인형을 건네고 돌봐보도록 유도한다. 아이의 행동에 '잘 돌봐주네~'라고 반응한다.","타인을 돌보는 친사회적 행동을 역할 놀이로연습하고, 타인의 필요를 인식하고 반응하는공감 능력을 발달시킨다.",사회성,"Zahn-Waxler, C., & Radke-Yarrow, M. (1990). The origins of empathic concern. Motivation and Emotion, 14(2), 107–130.",,,,
18,6,간식 나눠주기,간식을 여러 개 꺼내 '아빠한테도 줄까?'라고 말하며아이가 직접 가져다주도록 유도한다. 받은 사람이 '고마워!'라고 반응하며 아이의 나눔 행동을 강화한다.,"타인을 위해 행동하는 이타적 행동을 경험하고, 나눔이 긍정적 반응을 이끈다는 사회적인과 관계를 학습한다.",사회성,"Hay, D. F. (1979). Cooperative interactions between very young children. Child Development, 50(1), 246–252.",,,,
18,5,기분 말해주기,"아이가 울거나 웃을 때 '지금 슬프구나', '기쁘구나'라고 감정 이름을 붙여준다. 부모도 '엄마는 지금 기뻐~'라고 자신의 감정을 표현해 보인다.","감정 어휘를 내면화하고, 자신과 타인의 감정을 인식·표현하는 정서 조절 능력의 기초를형성한다.",사회성,"Denham, S. A. (1998). Emotional Development in Young Children. Guilford Press.",,,,
18,7,또래 흉내내기놀이,영상이나 인형으로 또래가 노는 모습을 보여주며 '저친구처럼 해볼까?'라고 유도한다. 아이가 따라 하면'똑같이 했네!'라고 반응하며 모방 행동을 강화한다.,"또래의 행동을 관찰하고 모방하는 사회적 학습 능력을 강화하고, 또래 관계에 대한 긍정적 인식을 형성한다.",사회성,"Meltzoff, A. N. (1988). Infant imitation and memory. Child Development, 59(1), 217–225.",,,,
18,6,작별 인사 연습,외출 전 '다녀올게~' 하며 손을 흔드는 시범을 보인다. 아이가 손을 흔들거나 '빠이빠이'라고 말하면 '잘했어!'라고 반응한다. 돌아와서도 '다녀왔어~'를 함께 연습한다.,"이별과 재회 상황의 사회적 의례를 학습하고, 분리 불안을 줄이는 예측 가능한 루틴으로서의 인사 행동을 내재화한다.",사회성,"Ainsworth, M. D. S. (1978). Patterns of Attachment. Erlbaum.",,,,
18,6,세 번째 단어유도하기,"아이가 자주 보는 사물(신발, 공, 물 등) 중 아직 말하지 않는 것을 골라 천천히 말해주고 기다린다. 비슷한소리라도 내면 '맞아, OO이야!'라고 즉시 반응한다.","마마·빠빠 외 세 번째 이상의 단어 발화를 촉진하고, 새로운 어휘 습득 동기를 강화한다.",언어,"Fenson, L. et al. (2007). MacArthur-Bates Communicative Development Inventories, 2nd ed. Brookes Publishing.",,,,
18,5,일상 단어 반복노출,"목욕, 밥, 잠 등 하루 루틴마다 해당 단어를 반복해서말해준다. '이제 밥 먹자~', '밥이야, 밥!' 하며 같은 단어를 2~3번 반복하고 아이의 발화를 기다린다.","일상 맥락에서 단어를 반복 노출해 어휘를 내재화하고, 상황과 단어의 연결을 강화해 자발적 발화를 촉진한다.",언어,"Hoff, E. (2006). How social contexts support and shape language development. Developmental Review, 26(1), 55–88.",,,,
18,6,몸짓 없이 지시따르기,"아이와 눈을 맞추고 손짓 없이 '이리 줘'라고만 말한다. 아이가 장난감을 건네면 '잘했어!'라고 반응한다. '여기놔줘', '가져와' 등 1단계 지시로 확장한다.","몸짓 단서 없이 언어만으로 지시를 이해하는순수 언어 처리 능력을 발달시키고, 수용 언어 능력의 수준을 높인다.",언어,CDC. (2023). Developmental Milestones: 18 Months. cdc.gov/ncbddd/actearly,,,,
18,5,그림 가리키며이름 말하기,"그림책을 펼쳐 '이게 뭐야?'라고 묻고 기다린다. 아이가 말하면 반응하고, 말이 없으면 이름을 말해주고 따라 하도록 유도한다. 3~5개 사물 반복한다.","표현 어휘를 확장하고, 질문-응답 구조를 통해 자발적 명명 능력을 발달시킨다.",언어,"Zevenbergen, A. A., & Whitehurst, G. J. (2003). Dialogic Reading. In van Kleeck et al. (Eds.), On Reading Books to Children. Erlbaum.",,,,
18,6,두 단어 연결유도,"아이가 '물'이라고 말하면 '물 줘? 라고 해봐~'처럼 두단어 조합을 모델링한다. 아이가 두 단어를 연결하려시도하면 '맞아, 물 줘!'라고 반응하며 강화한다.","단어 조합의 초기 단계를 자극해 문법 발달의기반을 마련하고, 의사소통 효율성을 높이는표현 언어 능력을 발달시킨다.",언어,"Tomasello, M. (2003). Constructing a Language. Harvard University Press.",,,,
18,7,동요 따라 부르기,짧고 반복되는 동요를 틀고 부모가 먼저 따라 부른다. 아이가 흥얼거리거나 단어를 따라 말하면 '같이 불렀네!'라고 반응하며 계속 부른다.,"음운 인식과 단어 기억 능력을 노래를 통해자연스럽게 발달시키고, 발화 시도에 대한 심리적 부담을 낮춘다.",언어,"Hallam, S. (2010). The power of music. International Journal of Music Education, 28(3), 269–289.",,,,
18,5,원하는 것 말로표현하기,아이가 손짓으로 무언가를 요청할 때 바로 주지 않고'뭐 줄까?'라고 묻는다. 아이가 소리나 단어로 표현하면 즉시 건네준다. 몸짓 없이 말만 해도 되도록 상황을자연스럽게 만든다.,"요청 의사를 언어로 표현하는 능력을 강화하고, 말이 환경을 바꿀 수 있다는 언어적 효능감을 형성한다.",언어,"Bruner, J. (1983). Child's Talk: Learning to Use Language. Oxford University Press.",,,,
18,6,신체 부위 이름말하기,"코 어딨어?'라고 물으면서 아이가 가리키게 한 뒤, 이번엔 부모가 코를 가리키며 '이게 뭐야?'라고 묻는다. 아이가 '코'라고 말하면 '맞아!'라고 반응한다.","수용(이해)에서 표현(말하기)으로 언어 능력을 한 단계 높이고, 신체 부위 어휘를 능동적으로 사용하는 표현 언어 능력을 발달시킨다.",언어,American Speech-Language-Hearing Association (ASHA). (2024). Receptive Language Development in Toddlers. asha.org,,,,
18,7,짧은 이야기 듣고 반응하기,그림책의 한 장면을 보며 '곰이 밥을 먹어요'처럼 짧은문장으로 말해준다. '곰이 뭐 해?'라고 물어 아이가 단어나 몸짓으로 반응하면 '맞아!'라고 반응한다.,"짧은 이야기 구조를 이해하고 내용을 회상하는 능력을 자극하며, 문장 수준의 언어 이해력을 발달시킨다.",언어,"Hoff, E. (2006). How social contexts support and shape language development. Developmental Review, 26(1), 55–88.",,,,
18,5,네/아니오 단어로 표현하기,"아이에게 좋아하는 것과 싫어하는 것을 번갈아 보여주며 '이거 줄까?'라고 묻는다. 고개 끄덕임·젓기 외에'응', '싫어' 등 말로도 표현하도록 '응이라고 해봐~'라며 모델링한다.","긍정·부정 의사를 언어로 표현하는 능력을 강화하고, 몸짓에서 언어 표현으로 소통 방식을발전시킨다.",언어,CDC. (2023). Developmental Milestones: 18 Months. cdc.gov/ncbddd/actearly,,,,
18,6,빗자루 쓸기 흉내내기,작은 장난감 빗자루를 꺼내 바닥을 쓰는 시범을 보인다. '같이 쓸어볼까?'라며 아이에게 건네고 따라 하도록 유도한다. 아이가 쓸면 '깨끗해지고 있어!'라고 반응한다.,"실생활 도구의 기능적 용도를 학습하고, 가사활동을 모방하는 상징 놀이를 통해 인과 관계이해와 사회적 역할 인식을 발달시킨다.",인지,"Meltzoff, A. N. (1988). Infant imitation and memory. Child Development, 59(1), 217–225.",,,,
18,6,걸레질 흉내내기,작은 천 조각을 건네며 '닦아볼까?'라고 말하며 테이블을 닦는 시범을 보인다. 아이가 천을 들고 닦는 시늉을하면 '깨끗해졌다!'라고 반응한다.,"집안일 모방을 통해 도구 사용 목적과 인과관계를 이해하고, 생활 속 역할에 참여하는사회적 인지 능력을 발달시킨다.",인지,"Fenson, L. et al. (1976). Developmental trends in infant play. Child Development, 47(1), 232–236.",,,,
18,7,장난감 차 밀며놀기,장난감 차를 꺼내 '부릉부릉~' 소리를 내며 바닥에서밀어주는 시범을 보인다. 아이에게 건네고 스스로 밀며 놀도록 유도한다. 장애물을 두어 돌아가는 방법도탐색하게 한다.,"장난감의 기능적 특성을 이해하고 목적에 맞게 활용하는 기능적 놀이 능력을 발달시키며, 공간 탐색과 인과 추론 능력을 키운다.",인지,"Fenson, L. et al. (1976). Developmental trends in infant play. Child Development, 47(1), 232–236.",,,,
18,6,인형 먹이기 놀이,숟가락과 그릇을 꺼내 인형에게 밥을 먹이는 시범을보인다. '인형이 배고프대~' 하며 아이가 직접 먹여보도록 유도한다.,"실제 생활 장면을 상징적으로 재현하는 상징놀이 능력을 발달시키고, 타인의 필요를 상상하는 초기 조망 수용 능력을 자극한다.",인지,"Leslie, A. M. (1987). Pretense and representation. Psychological Review, 94(4), 412–426.",,,,
18,7,블록 3개 이상쌓기,"블록 3~4개를 꺼내 하나씩 올리는 시범을 보인다. 아이가 스스로 쌓도록 유도하고, 무너지면 '다시 해보자!'라며 재도전을 격려한다.","공간 관계 이해와 소근육 정밀 조절 능력을강화하고, 목표 지향적 행동의 계획·실행·수정 능력을 발달시킨다.",인지,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
18,6,숨긴 장난감 찾기 심화,아이가 보는 앞에서 장난감을 컵 3개 중 하나에 숨긴다. '어디 있을까?'라고 묻고 아이가 찾도록 기다린다. 성공하면 컵을 살짝 섞은 뒤 다시 찾게 한다.,"기억과 추론을 결합한 고차원적 대상 영속성을 훈련하고, 가설을 세우고 검증하는 초기문제 해결 전략을 발달시킨다.",인지,"Piaget, J. (1954). The Construction of Reality in the Child. Basic Books.",,,,
18,5,같은 것 분류하기,"빨간 블록과 노란 블록을 섞어 놓고 '빨간 건 이 그릇, 노란 건 저 그릇'이라며 시범을 보인다. 아이가 스스로분류하도록 유도하고 맞으면 '맞아!'라고 반응한다.","색깔 기준으로 사물을 분류하는 범주화 사고를 발달시키고, 규칙에 따라 행동을 조직하는초기 논리 사고를 키운다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
18,6,원인·결과 실험,빈 페트병에 작은 블록을 넣어 소리가 나게 한다. '흔들면 소리 나지?'라며 시범을 보이고 아이에게 건넨다. 아이가 흔들어 소리를 내면 '네가 흔들어서 소리 났어!'라고 말한다.,"행동과 결과의 인과 관계를 직접 경험으로 학습하고, 스스로 현상을 만들어내는 탐구적 문제 해결 동기를 강화한다.",인지,"Gopnik, A., Meltzoff, A., & Kuhl, P. (1999). The Scientist in the Crib. William Morrow.",,,,
18,7,퍼즐 2~3조각맞추기,큼직한 2~3조각 퍼즐을 꺼내 한 조각을 빼고 아이가맞춰 넣도록 유도한다. 시행착오를 충분히 기다려준뒤 성공하면 '찾았다!'라고 크게 반응한다.,"형태 변별과 공간 추론 능력을 강화하고, 시행착오를 통한 자기 주도적 문제 해결 전략및 집중력을 발달시킨다.",인지,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
18,6,어떻게 작동하나 탐구,뚜껑을 돌려서 여는 통을 건네주고 아이가 스스로 열어보도록 기다린다. 여러 번 시도해도 안 되면 살짝 힌트를 준다. 열리면 '해냈어!'라고 크게 반응한다.,"도구의 작동 원리를 탐색하고, 시행착오를 통해 새로운 해결책을 발견하는 자기 주도적 탐구 능력과 인내심을 키운다.",인지,"Rat-Fischer, L., O'Regan, J. K., & Fagard, J. (2012). The emergence of tool use. Journal of Experimental Child Psychology, 113(3), 440–446.",,,,
18,6,혼자 걷기 방향바꾸기,좁은 복도나 방에서 아이가 혼자 걷다가 방향을 바꾸도록 유도한다. '이쪽으로 와봐~' 하며 반대 방향에서부른다. 스스로 돌아오면 '혼자 방향 바꿨네!'라고 반응한다.,"독립 보행의 안정성과 방향 전환 능력을 강화하고, 동적 균형 감각과 공간 탐색 능력을 발달시킨다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
18,5,자유 낙서하기,큰 종이를 바닥에 펼치고 굵은 크레파스를 건넨다. '마음대로 그려봐~'라며 아이가 자유롭게 긁적이도록 둔다. 결과물에 '멋지다!'라고 반응하며 어떤 그림인지 물어본다.,"소근육 조절 능력을 자유로운 탐색으로 발달시키고, 도구를 통한 자기 표현 경험이 창의성과 자기 효능감의 기초를 형성한다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
18,5,컵으로 물 마시기 연습,"뚜껑 없는 컵에 물을 조금 담아 아이에게 건넨다. 아이가 스스로 들고 마시도록 기다린다. 흘려도 '괜찮아, 잘했어!'라고 말하며 닦아준다.","양손 협응과 손목 조절 능력을 훈련하고, 실패를 두려워하지 않는 도전 의식을 자연스러운 식사 맥락에서 형성한다.",신체발달,American Academy of Pediatrics. (2023). Feeding & Nutrition: Your 1-Year-Old. healthychildren.org,,,,
18,5,손가락으로 집어 먹기 심화,"작은 과일 조각이나 치즈 큐브를 접시에 담아 아이 앞에 놓는다. 아이가 엄지와 검지로 집어 먹도록 기다리고, 스스로 먹으면 '혼자 먹었네!'라고 반응한다.","핀셋 파지의 정밀도를 높이고, 자기 주도적식사 능력을 강화해 독립적인 식사 습관의 기반을 형성한다.",신체발달,"Carruth, B. R., & Skinner, J. D. (2002). Feeding behaviors in healthy children. Journal of the American College of Nutrition, 21(2), 88–95.",,,,
18,6,숟가락으로 먹기 연습,요거트나 으깬 감자처럼 숟가락에 잘 붙는 음식을 그릇에 담아준다. 아이가 숟가락으로 퍼서 입으로 가져가도록 기다린다. 흘려도 시도 자체를 칭찬한다.,"숟가락 파지와 손목 회전 능력을 훈련하고, 도구를 사용한 자기 주도적 식사 독립의 기반을 형성한다.",신체발달,"Carruth, B. R., & Skinner, J. D. (2002). Feeding behaviors in healthy children. Journal of the American College of Nutrition, 21(2), 88–95.",,,,
18,7,소파 오르내리기,낮은 소파 앞에 서게 하고 '올라가볼까?'라고 유도한다. 아이가 스스로 무릎을 올리고 오르면 '혼자 올랐네!'라고 반응한다. 내려올 때도 '천천히~'라며 스스로하도록 기다린다.,"팔·다리 협응과 코어 근력을 실생활 동작으로강화하고, 높이에 대한 공간 지각과 신체 자율성을 발달시킨다.",신체발달,CDC. (2023). Developmental Milestones: 18 Months. cdc.gov/ncbddd/actearly,,,,
18,6,공 던지고 받기,부드러운 공을 아이에게 굴려주고 '이번엔 엄마한테던져봐~'라고 유도한다. 아이가 던지면 받고 '잘 던졌어!'라고 반응한다. 거리를 조금씩 늘린다.,"어깨와 팔의 대근육 협응력을 강화하고, 던지기-받기의 순서 교대를 통해 사회적 신체 놀이의 기초를 형성한다.",신체발달,"Bayley, N. (2006). Bayley Scales of Infant and Toddler Development, 3rd ed. Pearson.",,,,
18,7,계단 손잡고 오르기,계단 앞에서 아이 손을 잡고 '한 발씩 올라가자~'라고말하며 함께 오른다. 아이가 스스로 발을 내딛으면 기다려준다. 3~4칸 이내로 제한한다.,"계단 오르기에 필요한 교대 하지 근력과 균형감각을 발달시키고, 높낮이 공간 지각 및 보행 자신감을 강화한다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
18,6,선 따라 걷기,바닥에 마스킹 테이프로 직선을 붙여두고 '이 선 위로걸어봐~'라고 유도한다. 아이가 선을 따라 걸으면 '잘한다!'라고 반응한다. 곡선이나 지그재그로 심화한다.,"균형 감각과 신체 위치 인식(고유감각)을 훈련하고, 목표 지향적 보행 조절 능력을 발달시킨다.",신체발달,"Adolph, K. E., & Hoch, J. E. (2019). Motor development. Annual Review of Psychology, 70, 213–240.",,,,
18,5,물건 들고 걷기,가벼운 장난감이나 작은 가방을 들고 방 반대편까지걸어가도록 유도한다. 물건을 떨어뜨리지 않고 목적지에 도착하면 '도착했다!'라고 반응한다.,"보행 중 물건을 조작하는 이중 과제 협응력을강화하고, 목표 지향적 보행과 팔-다리 협응능력을 실생활 맥락에서 발달시킨다.",신체발달,CDC. (2023). Developmental Milestones: 18 Months. cdc.gov/ncbddd/actearly,,,,
,,,,,,,,,,
24,6,다친 사람 알아채기,"부모가 '아야!' 하고 손을 잡으며 아픈 척한다. 아이가멈추거나 다가오면 '맞아, 엄마가 아파. 괜찮아?'라고물으며 위로하는 법을 보여준다. 아이가 다가와 만지면 크게 반응해준다.","타인의 고통 신호를 인식하고 반응하는 공감능력을 발달시키고, 위로 행동의 사회적 의미를 실제 상황에서 학습한다.",사회성,"Zahn-Waxler, C., & Radke-Yarrow, M. (1990). The origins of empathic concern. Motivation and Emotion, 14(2), 107–130.",,,,
24,5,슬픈 표정 알아채기,"부모가 슬픈 표정을 지으며 '엄마가 슬퍼'라고 말한다. 아이가 다가오거나 표정을 살피면 '맞아, 슬플 때는 이런 얼굴이야'라고 설명하고 아이를 안아준다.","얼굴 표정을 통해 타인의 감정 상태를 파악하는 정서 인식 능력을 강화하고, 감정과 표정의연결을 내재화한다.",사회성,"Denham, S. A. (1998). Emotional Development in Young Children. Guilford Press.",,,,
