"만 0~6세
- 몇 개월이면 앞에 0.을 붙이기
60,타인을 위한 표현 능력,,5,가족 앞에서 공연하기,노래나 춤을 준비해 가족 앞에서 보여주게 하기,자신을 표현하고 타인을 의식하는 능력이 발달한다,사회성 / 감정,,,,
60,타인을 위한 표현 능력,,5,역할극 공연하기,짧은 이야기나 상황을 정해 연기를 해보게 하기,감정 표현과 상상력이 함께 발달한다,사회성 / 감정,,,,
60,타인을 위한 표현 능력,,4,노래 선물하기,특정 가족을 위해 노래를 불러보게 하기,타인을 위한 행동을 통해 공감과 표현 능력이 자라난다,사회성 / 감정,,,,
60,집안일을 수행하는 책임감,,5,양말 짝 찾기,세탁된 양말의 짝을 찾아 맞춰보게 하기,분류 능력과 책임감이 함께 발달한다,사회성 / 감정,,,,
60,집안일을 수행하는 책임감,,5,식탁 정리하기,식사 후 식탁 위 물건을 정리하게 하기,일상 속 역할 수행과 책임감이 형성된다,사회성 / 감정,,,,
60,집안일을 수행하는 책임감,,5,간단한 심부름 하기,물건을 가져오거나 정리하는 간단한 심부름을 맡기기,타인을 돕는 행동과 역할 수행 능력이 발달한다,사회성 / 감정,,,,
60,규칙을 이해하고 차례를 지키는 능력,,6,규칙 지키기 놀이,정해진 규칙을 끝까지 지키며 놀이를 완성해보기,자기 조절 능력과 사회적 규범 이해가 강화된다,사회성 / 감정,,,,
60,두 가지 사건을 연결해 이야기하는 능력,,6,이야기 이어 말하기,“고양이가 나무에 올라갔어”라고 시작하고 그 다음에 무슨 일이 일어났는지 이어서 말하게 하기,사건을 연결해 이야기하는 구성 능력이 발달한다,언어 / 소통,,,,
60,두 가지 사건을 연결해 이야기하는 능력,,6,이야기 만들기,등장인물과 상황을 주고 두 가지 이상의 사건이 포함된 이야기를 만들어보게 하기,상상력과 이야기 구조 이해 능력이 자라난다,언어 / 소통,,,,
60,이야기 이해 후 질문에 답하는 능력,,5,이야기 질문하기,"짧은 이야기를 들려준 후 “누가 나왔어?”, “무슨 일이 있었어?”라고 질문하기",듣고 이해한 내용을 기억하고 말로 표현하는 능력이 발달한다,언어 / 소통,,,,
60,이야기 이해 후 질문에 답하는 능력,,5,이야기 다시 말하기,이야기를 들은 후 기억나는 내용을 다시 말해보게 하기,"이해력과 기억력, 표현 능력이 함께 향상된다",언어 / 소통,,,,
60,3턴 이상 대화를 이어가는 능력,,5,대화 이어가기,질문과 답을 반복하며 최소 3번 이상 대화를 이어가기,대화의 흐름을 이해하고 상호작용 능력이 강화된다,언어 / 소통,,,,
60,3턴 이상 대화를 이어가는 능력,,5,질문 주고받기,부모와 아이가 번갈아 질문하고 답하는 놀이 진행하기,대화의 구조를 이해하고 참여하는 능력이 발달한다,언어 / 소통,,,,
60,운율을 인식하고 사용하는 능력,,5,운율 찾기 놀이,“해-새”처럼 비슷한 소리가 나는 단어를 찾아보게 하기,소리 패턴을 인식하고 언어 감각이 발달한다,언어 / 소통,,,,
60,운율을 인식하고 사용하는 능력,,5,운율 만들기,하나의 단어를 주고 비슷한 소리가 나는 단어를 만들어보게 하기,언어의 소리 구조를 이해하고 창의적으로 활용하는 능력이 자라난다,언어 / 소통,,,,
60,두 가지 사건을 연결해 이야기하는 능력,,6,순서대로 이야기하기,“먼저 뭐가 있었어? 그 다음은?”처럼 순서를 물어 이야기하게 하기,사건의 흐름을 정리하는 논리적 사고력이 발달한다,언어 / 소통,,,,
60,이야기 이해 후 질문에 답하는 능력,,5,왜 질문 답하기,이야기 후 “왜 그렇게 됐을까?”라고 물어 이유를 말해보게 하기,원인과 결과를 연결하는 사고 능력이 자라난다,언어 / 소통,,,,
60,10까지 수를 세는 능력,,6,물건 세어보기,장난감이나 과일을 하나씩 세며 10까지 세어보기,수 개념과 순서 인식 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
60,숫자를 인식하고 말하는 능력,,5,숫자 가리키기 놀이,1~5 숫자를 보여주고 어떤 숫자인지 말해보게 하기,숫자를 시각적으로 인식하고 언어로 연결하는 능력이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
60,숫자를 인식하고 말하는 능력,,5,숫자 찾기,집 안에서 숫자가 적힌 물건을 찾아보고 읽어보기,숫자를 일상에서 인식하고 활용하는 능력이 자라난다,"인지 (학습, 사고, 문제 해결)",,,,
60,시간 개념을 이해하고 사용하는 능력,,5,오늘-어제-내일 말하기,"“어제 뭐 했어?”, “내일 뭐 할까?”라고 물어보기",시간 흐름을 이해하고 표현하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
60,시간 개념을 이해하고 사용하는 능력,,5,하루 순서 말하기,"아침, 낮, 밤에 하는 일을 순서대로 말해보기",일상의 시간 구조를 이해하는 능력이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
60,일정 시간 집중하는 능력,,7,짧은 만들기 활동,종이 접기나 간단한 만들기를 끝까지 완성해보기,집중력을 유지하며 과제를 끝내는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
60,일정 시간 집중하는 능력,,6,이야기 끝까지 듣기,짧은 이야기를 끝까지 듣고 관련 질문에 답해보기,집중력과 이해력이 함께 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
60,글자를 인식하는 능력,,5,글자 찾기 놀이,책이나 간판에서 특정 글자를 찾아보고 말해보기,글자를 시각적으로 인식하는 능력이 발달한다,"인지 (학습, 사고, 문제 해결)",,,,
60,자신의 이름 일부를 쓰는 능력,,6,이름 써보기,자신의 이름 중 일부 글자를 따라 써보게 하기,글자를 직접 표현하는 능력과 소근육 조절이 향상된다,"인지 (학습, 사고, 문제 해결)",,,,
60,글자를 인식하는 능력,,5,글자 맞추기 놀이,글자를 보여주고 같은 글자를 찾아보게 하기,글자를 구별하고 기억하는 능력이 강화된다,"인지 (학습, 사고, 문제 해결)",,,,
60,단추를 채우는 정교한 손가락 조작 능력,,6,단추 채우기 연습,옷이나 천에 있는 단추를 하나씩 채워보게 하기,손가락 힘과 정교한 조작 능력이 발달한다,움직임 / 신체발달,,,,
60,단추를 채우는 정교한 손가락 조작 능력,,5,큰 단추부터 채우기,큰 단추부터 시작해 점점 작은 단추를 채워보게 하기,난이도 조절을 통해 손 조작 능력이 점진적으로 향상된다,움직임 / 신체발달,,,,
60,단추를 채우는 정교한 손가락 조작 능력,,5,순서대로 단추 채우기,아래에서 위로 순서를 정해 단추를 채워보게 하기,손 조작과 함께 순차적 사고 능력이 발달한다,움직임 / 신체발달,,,,
60,단추를 채우는 정교한 손가락 조작 능력,,5,단추 채우기 게임,“누가 더 빨리 채울까?”와 같은 게임 형태로 진행하기,반복 연습을 통해 손 조작 능력과 집중력이 향상된다,움직임 / 신체발달,,,,
60,한 발로 균형을 잡고 점프하는 능력,,6,한 발 점프 연습,한 발로 서서 점프를 시도해보게 하기,균형 감각과 하체 근력이 발달한다,움직임 / 신체발달,,,,
60,한 발로 균형을 잡고 점프하는 능력,,5,한 발로 이동하기,한 발로 깡충깡충 이동해 목표 지점까지 가보기,균형 유지 능력과 이동 조절 능력이 향상된다,움직임 / 신체발달,,,,
60,한 발로 균형을 잡고 점프하는 능력,,5,목표 지점 점프하기,바닥에 표시를 하고 한 발로 점프해 도착해보기,거리 조절과 균형 감각이 함께 발달한다,움직임 / 신체발달,,,,
60,한 발로 균형을 잡고 점프하는 능력,,5,한 발 번갈아 점프하기,오른발과 왼발을 번갈아 가며 점프해보기,양쪽 신체를 균형 있게 사용하는 능력이 자라난다,움직임 / 신체발달,,,,
60,단추를 채우는 정교한 손가락 조작 능력,,5,단추 채우며 이야기하기,단추를 채우며 숫자를 세거나 이야기를 함께 나누기,손 조작과 언어 자극이 동시에 이루어진다,움직임 / 신체발달,,,,
60,한 발로 균형을 잡고 점프하는 능력,,6,장애물 넘기 점프,낮은 장애물을 두고 한 발로 점프해 넘어보기,균형 감각과 신체 조정 능력이 더욱 향상된다,움직임 / 신체발달,,,,
